메뉴,재료,양,레시피
[우정욱] 채소 듬뿍 궁중떡볶이,"['가래떡', '양파', '파프리카(노랑, 빨강)', '피망', '생표고버섯', '잡채용 소고기', '만가닥버섯', '생목이버섯', '다진 잣', '통깨', '참기름', '간장', '설탕', '참기름', '후춧가루', '간장', '설탕', '미림', '굴소스']","['2줄', '1/2개', '1/2개씩', '1개', '3개', '100g', '1팩', '1/2컵', '약간', '약간', '약간', '1큰술', '1작은술', '1작은술', '약간', '2큰술', '1큰술', '2큰술', '1작은술']","['가래떡을 4cm정도의 길이, ? 크기로 가늘게 썬 다음 찬물에 담갔다가 살짝 데쳐 주세요.(tip. 가래떡은 반으로 썬 후 3등분 해서 총 6등분 해주세요. 가래떡을 얇게 썰면 양념이 잘 배서 더 맛있어요)(tip. 데친 가래떡은 참기름을 살짝 둘러 달라붙지 않게 준비해 주세요)', '파프리카와 피망, 표고버섯은 채 썰어주세요. 만가닥버섯은 기둥을 썰고 손으로 떼어내 주세요.(tip. 파프리카는 겉면이 바닥에 닿도록 두고 썰어야 미끄러지지 않아요)(tip. 애호박을 추가해도 좋아요)', '볼에 소고기와 고기 양념재료를 넣어 버무려 주세요.(tip. 소고기는 대접살을 추천하고 채끝살 또는 보섭살로 대체해도 좋아요)', '달군 팬에 카놀라유 또는 포도씨유를 넣고 양파를 볶아주세요. 소금을 한 꼬집 넣어 간을 해주세요. 파프리카, 피망을 넣어 볶아주세요. 기름이 부족하면 물을 약간 넣어 볶아주세요. 볶아낸 채소는 따로 덜어 준비해 주세요.(tip. 채소를 볶을 때마다 조금씩 소금간을 해주세요)', '팬에 고기를 넣어 볶아주세요. 고기가 4~50% 볶아졌을 때 표고버섯과 만가닥 버섯을 넣어 볶아주세요. 생목이 버섯은 마지막에 넣어 볶아주세요.(tip. 모든 채소를 기름에 볶으면 느끼할 수 있어요. 양파는 기름으로 볶고 파프리카는 물을 넣어 볶아주세요)', '달군 팬에 데친 떡과 채소, 고기와 양념재료를 넣어 볶아주세요. 양념이 골고루 잘 배일 수 있도록 졸여주세요. 마지막으로 통깨와 참기름, 잣가루를 뿌려 맛있게 즐겨 주세요.']"
[강레오] 고등어구이,"['고등어 필렛', '오일', '소금', '후춧가루']","['130g', '적당량', '적당량', '적당량']","['충분히 해동된 고등어를 깨끗하게 씻어 주세요. 고등어에 묻은 물기를 닦아내 수분을 완전히 제거해 주세요. (tip. 수분을 제거해야 구울 때 기름이 튀지 않고 냄새가 안 나요)', '고등어 양면에 소금과 후춧가루를 적당량 뿌려 밑간을 해 주세요.(tip. 소금은 굵은 것보다 고운 입자를 사용하는 게 좋아요. 굵은소금이 있다면 곱게 갈아주세요)', '팬에 오일을 두르고 중간불로 달궈 주세요. 고등어의 껍질이 아래로 향하도록 올린 후, 중약불로 낮춰 10초 정도 꾹 눌러 구워주세요. 고등어가 80% 정도 익었을 때 뒤집어 10초 정도 더 익혀 주세요.', '겉은 바삭, 속은 촉촉하게 익은 고등어구이를 맛있게 즐겨 주세요.']"
도토리묵,"['도토리가루', '물', '소금', '들기름', '진간장', '다진 마늘', '고춧가루', '다진 청양고추', '참기름', '설탕', '통깨', '후춧가루']","['1컵', '6컵', '1/2큰술', '1큰술', '4큰술', '1작은술', '1큰술', '2큰술', '1큰술', '1/2큰술', '약간', '약간']","['볼에 도토리가루와 물을 넣고 거품기로 잘 섞어주세요.', '섞은 재료를 냄비에 담고 센불에서 한방향으로 빠르게 저어가며 끓여주세요.', '재료가 응고되면서 기포가 끓어오르기 시작하면 불을 약불로 줄이고 15분간 천천히 저어주세요.', '들기름과 소금을 넣고 다시 5분간 천천히 저어주세요. (tip. 들기름을 넣으면 묵에서 윤기가 나고 더욱 고소해요. 들기름이 없다면 참기름이나 일반 식용유를 사용해도 좋아요)', '완성된 도토리묵은 밀폐용기나 굳힐수있는 적당한 크기의 용기에 붓고 상온에서 식혀주세요.', '굳힌 도토리묵을 먹기 좋게 썰어주세요.(tip. 도토리묵은 밀폐하여 냉장 보관하면 3~4일간 보관이 가능해요) (tip. 물을 넣어 함께 보관하면 수분이 증발하는것을 막아줘요. 또한 굳은 묵은 끓는물에 3분간 데쳐 사용하면 더욱 부드럽게 즐길 수 있어요)', '볼에 양념장 재료를 넣고 섞어주세요. 양념장을 곁들여 맛있게 즐겨주세요.']"
목살김치찜,"['목살', '신김치', '양파', '대파', '홍고추', '청양고추', '멸치다시마육수(또는 쌀뜨물)', '된장(생략 가능)', '김치국물', '국간장', '맛술', '고춧가루', '설탕', '다진 마늘', '후춧가루']","['1kg', '1/2포기', '1/2개', '1대', '1개', '1개', '500ml', '1/2큰술', '1컵', '1큰술', '2큰술', '1큰술', '1큰술', '1큰술', '약간']","['김치는 꼭지를 붙인 채 3등분하여 썰어주세요. 볼에 양념 재료를 넣고 섞어 양념장을 만들어주세요.(tip 김치의 숙성 정도에 따라 설탕을 가감해주세요)', '목살은 큼직하게 자르고, 양파는 굵게 채썰어주세요. 대파와 고추는 어슷하게 썰어주세요.', '냄비에 김치를 담고 목살과 양파를 올린 후 양념장과 멸치다시마육수, 된장을 넣고 끓기 시작하면 불을 중간불로 줄여 1시간 20분 정도 끓여주세요.(tip 끓이는 중간 뚜껑을 열어 김치가 바닥에 눌지 않도록 저어가며 끓여주세요)(tip 부족한 간은 김치국물과 소금을 가감해서 조절해주세요)', '마지막에 대파와 홍고추, 청양고추를 넣고 한소끔 끓인 후 목살을 먹기 좋은 크기로 잘라 김치와 함께 맛있게 즐겨주세요.']"
채식구절판,"['표고', '오이', '당근', '숙주', '애호박', '우엉', '목이버섯', '소금', '식용유', '밀가루', '물', '소금', '참기름', '간장', '맛술', '설탕', '다진 마늘', '참기름', '후춧가루', '연겨자', '간장', '식초', '설탕', '후춧가루']","['2개', '1/2개', '1/2개', '한 줌', '1/4개', '1토막', '약간', '약간', '약간', '1컵', '1컵', '3꼬집', '2방울', '1큰술', '1큰술', '1/2큰술', '1작은술', '1큰술', '약간', '1/2큰술', '1큰술', '5큰술', '1큰술', '약간']","['목이버섯은 찬물에 담가 불린 후 물기를 짜고 곱게 채를 썰어주세요.', '오이는 굵은 소금으로 닦은 후 4등분 하여 껍질을 얇게 돌려 깎고 채를 썰어주세요.', '표고는 기둥을 떼고 가로로 편을 썬 다음 얇게 채를 썰어주세요. (tip. 표고 기둥도 손으로 찢어 함께 사용해도 좋아요)', '우엉, 애호박, 당근을 얇게 편을 썰고 곱게 채를 썰어주세요.', '볼에 간장소스를 넣고 섞어 준비해주세요.', '달군 팬에 기름을 약간 두른 후 표고-오이-애호박-당근 순으로 볶아주세요. (tip. 채소를 볶을 때 고운 소금을 한 꼬집씩 넣어 간을 해주세요)', '달군 팬에 숙주 한 줌과 물 1컵을 넣고 숙주를 데친 후 접시에 덜고, 물이 자작한 상태에서 채를 썬 우엉과 간장소스 ½ 분량을 넣고 졸인 후 접시에 덜어주세요.', '우엉을 볶은 팬에 목이버섯을 넣고 나머지 간장소스를 넣은 후 볶아주세요.', '볼에 밀전병 재료를 넣고 섞은 후 잘 섞어주세요. (tip. 전병 반죽에 치자가루나 식용 색소를 조금 섞어주면 다양한 색을 낼 수 있어요)', '약한 불에서 팬에 기름을 두른 후 닦아내고 숟가락으로 밀전병 반죽을 한술 떠 팬에 붓고 둥글고 얇게 펼쳐 부쳐주세요.', '접시에 준비한 재료를 둥글게 돌려 담고 가운데 전병을 올려 완성해주세요. (tip. 밀전병 위에 허브나 잣 대추 등을 올려 꾸며주면 더욱 예뻐요)']"
간장 가지덮밥,"['가지', '양파', '전분', '쪽파', '식용유', '통깨', '후춧가루', '소금', '설탕', '물', '간장', '미림', '청주', '설탕', '생강가루']","['3개', '1개', '2큰술', '2대', '약간', '약간', '약간', '약간', '약간', '4큰술', '3큰술', '2큰술', '2큰술', '2큰술', '약간']","['가지는 깨끗이 씻어 꼭지를 자르고 1cm 두께로 길게 썰어주세요.', '가지에 소금과 설탕을 넣고 20분간 절여주세요.', '절인 가지의 물기를 제거하고 밀가루옷을 얇게 입혀주세요.', '마늘은 편을 썰어 구워주세요. 달군 팬에 기름을 두르고 중약불에서 가지를 앞뒤로 노릇하게 3~4분간 구워주세요.', '소스재료를 섞은 후 가지를 구운 팬에 붓고 팔팔 끓여준 불을 약불로 줄이고 구워둔 가지를 넣고 2~3분간 졸여주세요.', '양파는 얇게 링으로 썰어 찬물에 담가 매운기를 제거하고 채반에서 물기를 제거해 주세요.', '그릇에 밥을 담고 양파를 소복히 올린 후 통깨를 뿌리고 구운 가지를 가지런히 올려주세요. 쪽파와 후춧가루를 뿌려 완성한 후 맛있게 즐겨주세요.']"
김치 비빔 국수,"['신김치', '중면', '오이', '깨', '고추장', '식초', '올리고당', '간장', '설탕', '맛술', '참기름', '후추']","['2컵', '200g', '1/2개', '약간', '2큰술', '2큰술', '2큰술', '1큰술', '1큰술', '1큰술', '1큰술', '약간']","['오이는 가늘게 채 썰고 김치는 굵게 다져주세요.', '볼에 다진 김치와 양념재료를 넣고 섞어주세요.', '끓는 물에 중면을 펼쳐 넣고 면끼리 달라붓지 않도록 저어주세요. 물이 끓어오르면 찬물을 2~3회 반복해서 부어 국수를 삶아주세요. 흐르는 찬물에 중면을 여러 번 씻어 전분기를 없애고 체반에 밭쳐 물기를 빼주세요.', '양념장에 삶은 국수를 넣고 버무려주세요.', '접시에 비빔국수를 담고 삶은 달걀과 오이채, 깨를 올려주세요.']"
열무김치,"['열무', '얼갈이', '쪽파', '양파', '홍고추', '생강', '새우젓', '굵은 소금', '고춧가루', '참치액젓', '다진 마늘', '매실청', '소금', '밀가루', '디포리 다시마 육수']","['1단 (1.5kg)', '1단 (1.5kg)', '한 줌 (20대)', '1개', '15개', '1쪽 (20g)', '4큰술', '150g', '1컵', '3큰술', '4큰술', '3큰술', '2큰술', '4큰술', '3컵+½컵']","['얼갈이는 뿌리 부분을 잘라내고 2~3등분으로 잘라 주세요. 열무는 뿌리 끝부분을 자르고 긁어 다듬은 후 두꺼운 뿌리는 반으로 가르고 길이로 2~3등분으로 잘라 손질해 주세요.(tip. 잎이 큰 얼갈이는 반으로 잘라 주세요)', '손질한 얼갈이와 열무는 물에 살살 흔들어 씻어 주세요. 굵은 소금을 뿌려 30분 정도 절이고 위아래로 뒤집어 20분 정도 더 절여 주세요. 물에 흔들어 씻어 채반에 밭쳐 물기를 빼주세요.(tip. 열무는 씻을 때와 절일 때, 양념에 버무릴 때 살살 버무려야 풋내가 나지 않게 만들 수 있어요)', '냄비에 밀가루 풀 재료를 넣고 잘 섞어준 후 중불에서 저어가며 풀고 기포가 올라오면서 농도가 나면 불을 끄고 식혀주세요.', '양파는 큼직하게 썰고, 홍고추는 꼭지를 제거 후 송송 썰어주세요. 새우젓과 생강을 함께 블렌더에 넣어 굵게 갈아주세요. 쪽파는 5센티 길이로 썰어주세요.', '볼에 블렌더에서 간 재료와 식힌 밀가루 풀, 양념 재료를 넣고 고루 섞어 김치 양념장을 만들어주세요.', '양념을 절인 열무와 얼갈이, 쪽파에 넣고 숨이 살짝 죽으면 전체적으로 가볍게 섞어 김치통에 담아주세요. 상온에서 1~2일 정도 숙성시켰다가 냉장 보관해 주세요.(tip. 열무와 얼갈이의 절여진 염도에 따라 마지막에 새우젓 국물 또는 소금을 가감해서 간을 맞춰주세요)']"
쇠고기 미역국,"['자른 쇠고기 양지(또는 등심)', '자른 미역', '참기름 (또는 들기름)', '국간장', '다진 마늘', '물 (또는 쌀뜨물)', '멸치 액젓 (또는 참치액젓)']","['100g', '20g (⅔컵)', '2큰술', '2큰술', '1큰술', '7컵 (1.4L)', '1큰술']","['불린 미역은 물에 깨끗하게 헹군 후 체에 밭쳐 물기를 빼주세요.(tip. 미역은 미지근한 물이나 뜨거운 물에 불리게 되면 비린내가 올라오게 되니 찬물에 20분 정도 불려주세요)(tip. 자르지 않은 미역은 불린 후 먹기 좋은 크기로 잘라주세요)', '달군 팬에 쇠고기를 넣어 볶다가 참기름을 넣고 쇠고기 겉면의 핏기가 없을 때까지 약불에서 볶아주세요. 다진 마늘을 넣어 볶다가 국간장과 미역을 넣고 3~4분 정도 볶아주세요.(tip. 국간장을 볶을 때 넣으면 쇠고기와 미역에 간이 잘 되면서 기름진 맛을 잡아준답니다)', '물을 넣고 20~30분 정도 충분히 끓여주세요.(tip. 20~30분 정도 충분히 끓이면 쇠고기도 더욱 부드럽고 국물의 맛도 진해져요)', '부족한 간은 국간장과 액젓으로 맞춰주세요.', '맛있게 즐겨주세요.']"
당근전,"['당근', '전분', '소금', '식용유']","['2개(320g)', '3큰술', '두 꼬집', '약간']","['깨끗이 씻은 당근은 채칼로 채를 썰어주세요. (tip. 당근은 최대한 길게 채 썰어주어야 예쁜 모양으로 완성된답니다)', '볼에 당근을 담아 소금을 넣고 잘 섞어준 후 전분가루를 넣어 골고루 섞어주세요.', '달군 팬에 식용유를 두르고 당근을 올려 둥글게 모양을 만들어 주세요. 한쪽 면이 잘 익으면 뒤집어 다른 면도 익혀 주세요.', '노릇하게 익은 당근전을 그릇에 담아 맛있게 즐겨주세요.']"
김치말이두부찜,"['신김치', '두부', '느타리 한줌', '양파', '대파', '채수', '들기름', '간장(국간장)', '된장', '고춧가루', '김치국물', '다진 마늘', '설탕', '후춧가루']","['½포기', '1모', '100g', '½개', '½대', '2+½컵', '2큰술', '1큰술', '½큰술', '1큰술', '⅓컵', '1큰술', '1작은술', '약간']","['양파는 굵게 채 썰고, 대파는 어슷하게 썰어주세요. 느타리버섯은 밑동을 자르고 먹기 좋게 찢고 두부는 손가락 두께로 잘라주세요. 볼에 양념 재료를 넣고 섞어주세요. (tip. 김치의 염도에 따라 김치 국물의 양을 가감해 주세요.)', '달군 팬에 들기름 1큰술을 두르고 두부를 돌려가며 노릇하게 구워주세요.', '김치를 넓게 깔고, 구운 두부를 올려 돌돌 말아주세요.', '냄비에 들기름 1큰술을 두르고 대파(1/2분량)을 넣어 볶다가 파의 향이 올라오면 느타리버섯과 양파를 넣어 볶아주세요. 김치말이두부와 양념, 채수를 넣고 중불에서 25분 정도 끓여주세요. (tip. 김치말이두부의 이음새 부분이 냄비의 바닥이 가도록 놓아야 풀리지 않아요. 채수를 넣을 때는 냄비의 가장자리부터 천천히 부어주세요. 기호에 따라 끓이는 중간에 채수를 가감해서 국물의 양을 조절해 주세요.)', '김치가 부드럽게 익으면 기호에 따라 부족한 간은 소금을 가감해서 조절한 후 나머지 대파 반을 올려 맛있게 즐겨주세요.']"
표고버섯 덮밥,"['표고버섯', '양파', '대파', '다진 마늘', '참기름', '식용유', '통깨', '레드페퍼', '밥', '간장', '올리고당', '맛술', '설탕', '참기름', '후추가루']","['6개 (150g)', '½개', '½대', '1큰술', '1큰술', '약간', '약간', '약간 (또는 청양고추 ½개)', '2공기', '1+½큰술', '1큰술', '1큰술', '½큰술', '½큰술', '약간']","['표고버섯은 밑동 부분을 자르고 먹기 좋게 슬라이스해주세요. 양파는 채를 썰어주세요. 대파는 흰 부분과 푸른 부분을 분리한 후 가늘게 채를 썰어주세요. 볼에 양념재료를 넣고 섞어주세요.(tip 표고버섯의 기둥은 손으로 찢어 준비해 주세요.tip 대파의 속심 부분은 잘게 썰어 양념재료와 함께 섞어주세요.)', '달군 팬에 식용유를 넉넉히 두르고 다진 마늘과 대파 흰 부분을 넣어 볶아주세요.', '마늘과 파의 향이 올라오면 표고버섯과 양파를 넣어 볶다가 양념재료를 넣어 졸이듯이 볶아주세요.', '마지막에 불을 끄고 대파 푸른 부분을 넣고 참기름을 둘러주세요.', '그릇에 밥을 담고 완성된 표고버섯볶음을 얹은 후 통깨와 레드페퍼를 뿌려 맛있게 즐겨주세요.']"
냉이 차돌박이 솥밥,"['냉이', '차돌박이', '쌀', '다시마 육수', '간장', '다진 마늘', '올리고당', '참기름', '후춧가루', '다진 양파', '송송 썬 쪽파', '간장', '맛술', '다진 마늘', '참기름', '매실청 (올리고당으로 대체 가능)', '통깨']","['한 줌 (200g)', '200g', '2컵 (360g)', '2컵', '1큰술', '1큰술', '2큰술', '½큰술', '약간', '¼ 개', '2줄기', '2큰술', '1큰술', '½큰술', '½큰술', '½큰술', '약간']","['쌀을 씻어 30분 정도 불린 후 체에 받쳐 물기를 빼주세요.(tip. 기호에 따라 쌀과 찹쌀을 섞어 만들어도 좋아요)', '냉이는 뿌리를 깨끗이 다듬어 씻어주세요. 뿌리와 잎 사이를 잘라 2등분 한 후 뿌리는 1센치 길이로 썰고 잎은 2~3등분해 주세요.', '차돌박이는 키친타올에 올려 핏물을 제거한 후 차돌박이 양념에 넣어 10분 정도 재워주세요.', '달군 팬에 양념에 재워둔 차돌박이를 넣고 4~5분간 볶은 후 접시에 덜어주세요.', '냄비에 불린 쌀과 다시마 육수를 넣고 손질해둔 냉이 뿌리를 넣고 뚜껑을 닫아 중불에서 5분간 끓여주세요. (tip. 냉이의 잎보다 뿌리가 더 질기기 때문에 뿌리를 먼저 넣어 밥을 지으면 더욱 부드럽게 드실 수 있어요)', '밥물이 끓어오르면 약불로 줄여 15분 정도 익혀주세요. 냉이 잎과 차돌박이를 밥위에 얹고 다시 5분간 익혀주세요. 솥밥의 불을 끄고 5분간 뜸을 들여주세요.(tip. 밥이 거의 익을 때 쯤 냉이 잎을 넣어주면 냉이의 향이 살아있어 더욱 향긋하게 드실 수 있어요)', '완성된 솥밥에 양념 간장을 곁들여 맛있게 즐겨주세요.']"
얼갈이배추 된장국,"['얼갈이배추', '해감 모시조개', '대파', '청양고추', '홍고추', '소금', '멸치 다시마 육수', '된장', '다진 마늘', '고춧가루']","['5포기', '200g', '½대', '1개', '1개', '약간', '5컵', '3큰술', '1큰술', '½큰술']","['냄비에 멸치 다시마육수를 붓고 해감한 모시조개를 넣어 끓이다가 조개가 익어 입을 벌리면 건져내고, 육수는 가라앉힌 후 위 육수만 따라내어 준비해 주세요.(tip 건져 낸 모시조개는 육수에 흔들어 남아 있는 모래를 제거해 주세요.)', '얼갈이배추는 밑둥을 자른 후 물에 씻고 끓는 물에 약간의 소금을 넣고 얼갈이배추의 흰부분부터 넣어 1~2분간 데친 후 찬물에 헹궈 물기를 살짝 제거해주세요.', '얼갈이는 먹기 좋은 크기로 잘라 얼갈이 양념재료에 조물조물 버무려 밑간하고 고추는 어슷하게 썰고 대파는 길이로 반 가른 후 6cm 길이로 썰어주세요.(tip 된장의 염도에 따라 된장 양을 가감해서 양념을 조절해 주세요.)', '냄비에 육수를 붓고 끓어오르면 양념한 얼갈이배추를 넣고 중간불에서 3분 정도 끓여주세요.', '. 마지막에 모시조개와 대파, 고추를 넣어 한소끔 더 끓여 맛있게 즐겨주세요.(tip 부족한 간은 소금을 가감해 조절해 주세요.)']"
만능 땡초장,"['청양고추', '홍고추', '양파', '다진 마늘', '식용유', '멸치 다시마 육수', '참치 액젓', '국간장', '참기름', '통깨']","['40개', '4개', '1개', '2큰술', '1큰술', '3컵', '5큰술', '5큰술', '2큰술', '2큰술']","['깨끗이 씻은 고추는 꼭지를 제거하고 잘게 다져주세요. 양파도 다져주세요.(tip. 많은 양을 손질할 때는 장갑을 착용해 주세요)', '팬에 기름을 약간 두른 후 다진 마늘과 양파를 넣어 볶아주세요.', '마늘향이 올라오면 다진 고추를 넣어 볶다가 양념 재료를 넣고 자작하게 끓여주세요.', '완성된 땡초장은 밥이나 국수 등에 곁들여 맛있게즐겨주세요. (tip. 구운 김에 싸 먹거나 호박잎, 양배추 등 쌈 채소에 곁들여도 맛있답니다.)(tip. 한 김 식혀 밀폐 용기에 담아 보관해 주세요. 냉장고에서 한 달 정도 보관이 가능해요)']"
